;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference
0;0;Asia;Chilo infuscatellus;Saharo-Arabian;2024;Li, A., Chen, Z., Liao, F., Zhao, Y., Qin, C., Wang, M., ... and Huang, D. (2024). Sugarcane borers: species, distribution, damage and management options. Journal of Pest Science, 97(3): 1171-1201
1;0;Asia;Pachliopta aristolochiae;Saharo-Arabian;2020;Rushbrooke, M., Jangid, A., Alwis, C., Barve, V., Chowdhury, S., Irungbam, J., ... and Tiple, A. (2020). Pachliopta aristolochiae (amended version of 2019 assessment). The IUCN Red List of Threatened Species 2020: e.T121971639A170544412
2;0;Asia;Actias selene;Saharo-Arabian;2007;Choldumrongkul, S., Tubtim, N. and Ratanachan, S. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213
3;0;Asia;Caloptilia roscipennella;Saharo-Arabian;2024;de Prins J. and de Prins W. (2024). Global Taxonomic Database of Gracillariidae (Lepidoptera). Avaliable at: http://www.gracillariidae.net
4;0;Asia;Elophila nymphaeata;Saharo-Arabian;1984;Speidel, W. (1984). Revision der Acentropinae des palaearktischen Faunengebietes (Lepidoptera: Crambidae). Neue entomologische Nachrichten. 12: 1–157
5;0;Asia;Papilio demoleus;Saharo-Arabian;2020;Riaz, S., Johnson, J., Rasheed, T. and Wiemers, M. (2020). Morphology, life cycle and management of two invasive subspecies of Papilio demoleus (Lepidoptera: Papilionidae): A review. Journal of Applied Entomology. 144: 845–856
6;0;Asia;Garella musculana;Saharo-Arabian;2018;Yildiz, Y., Yildirim, I., Bostanci, C. and Aydogan, O. (2018). Erschoviella musculana Erschoff 1874, a new record and a new walnut pest in Turkey. Journal of Bartin Faculty of Forestry. 20(2): 296-302
7;0;Asia;Tyta luctuosa;Saharo-Arabian;1988;Rosenthal, S., Clement, S., Hostettler, N. and Mimmocchi, T. (1988). Biology of Tyta luctuosa [Lep.: Noctuidae] and its potential value as a biological control agent for the weed Convolvulus arvensis. Entomophaga. 33: 185-192
8;0;Asia;Scirpophaga incertulas;Saharo-Arabian;2006;Chen, F., Song, S. and Wu, C. (2006). A review of the genus Scirpophaga Treitschke, 1832 in China (Lepidoptera: Pyralidae). Zootaxa, 1236(1): 1-22
9;0;Asia;Daphnis nerii;Saharo-Arabian;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia). Available at: https://tpittaway.tripod.com/sphinx/list.htm
10;0;Asia;Lampides boeticus;Saharo-Arabian;2021;Edge, D. and Westrip, J. (2021). Lampides boeticus. The IUCN Red List of Threatened Species 2021: e.T174427A161341394
11;0;Asia;Chilo partellus;Saharo-Arabian;1990;Harris, K. (1990). Keynote address: bioecology of Chilo species. International Journal of Tropical Insect Science. 11(4): 467-477
12;0;Asia;Ascalenia acaciella;Saharo-Arabian;2006;Koster, S. and Sammut, P. (2006). Faunistic notes on Momphidae, Batrachedridae, Stathmopodidae and Cosmopterigidae from the Maltese Islands. Nota lepidopterologica. 29(1): 49
13;0;Asia;Danaus chrysippus;Saharo-Arabian;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species 2021: e.T174455A222994680
14;0;Asia;Garella musculana;Saharo-Arabian;2023;Scaccini, D., Bramuzzo, D., Bostanci, C., Faccoli, M., Martinez-Sanudo, I., Matov, A., ... and Pozzebon, A. (2023). First report of Garella musculana (Erschov, 1874) (Lepidoptera: Nolidae) in Italy with insights into its identity. Journal of Applied Entomology. 147: 239-243
15;0;Asia;Parapoynx diminutalis;Saharo-Arabian;1996;Buckingham, G. and Bennett, C. (1996). Laboratory biology of an immigrant Asian moth, Parapoynx diminutalis (Lepidoptera: Pyralidae), on Hydrilla verticillata (Hydrocharitaceae). Florida Entomologist. 79(3): 353-353
16;0;Asia;Acleris variegana;Saharo-Arabian;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
17;0;Asia;Earias vittella;Saharo-Arabian;2003;Nash, S. (2003). Earias vittella (Fabricius) (Lep.: Noctuidae) the first occurrence of wild-caught moths in Europe. Entomologist’s Record and Journal of Variation 115: 187–188
18;0;Asia;Lymantria dispar;Saharo-Arabian;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp
19;0;Asia;Elophila difflualis;Saharo-Arabian;2010;Chen, F., Wu, C. and Xue, D. (2010). A review of the genus Elophila Hubner, 1822 in China (Lepidoptera: Crambidae: Acentropinae). Aquatic insects. 32(1): 35-60
20;0;Asia;Caradrina clavipalpis;Saharo-Arabian;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net
21;0;Africa;Bactra philocherda;Afrotropical;1964;Diakonoff, A. (1964). Further records and descriptions of the species of Bactra Stephens (Lepidoptera, Tortricidae). Zoölogische Verhandelingen, 70(1): 1-81
22;0;Africa;Sesamia calamistis;Afrotropical;1953;Tams, W. and Bowden, J. (1953). A revision of the African species of Sesamia Guenee and related genera (Agrotidae-Lepidoptera). Bulletin of entomological research, 43(4): 645-678
23;0;Africa;Chrysodeixis chalcites;Afrotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
24;0;Africa;Euchromia lethe;Afrotropical;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net
