;Species;Continent;Realm;Cosmopolitan;Reference Year;Reference;AcceptedSpecies
0;Bleszynskia malacelloides;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Bleszynskia malacelloides
1;Artigisa melanephele;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Artigisa melanephele
2;Acrocercops laciniella;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Acrocercops laciniella
3;Zomariana doxasticana;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Zomariana doxasticana
4;Coleophora striatipennella;Europe;Palearctic;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Coleophora striatipennella
5;Morosaphycita oculiferella;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Morosaphycita oculiferella
6;Barea codrella;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Barea codrella
7;Barea codrella;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Barea codrella
8;Acrocercops laciniella;Australia;Australian;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Acrocercops laciniella
9;Coleophora striatipennella;Europe;Palearctic;0;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Coleophora striatipennella
