Species;Area;Realm;Cryptogenic;Introduced;Dispersal;Established;Eradicated;Intentional_Release;Year;Reference Year;Reference
Spodoptera eridania;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Hypsipyla grandella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera eridania;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Hyphantria cunea;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea operculella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Cactoblastis cactorum;United States;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa zea;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Duponchelia fovealis;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Ostrinia nubilalis;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;United States;Nearctic;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pyroderces rileyi;United States;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Grapholita molesta;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Galleria mellonella;United States;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera eridania;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Gymnandrosoma aurantianum;Brazil;Neotropical;;;;1.0;0.0;;1994.0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae;Alaska;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae;Canada;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Coleophora deauratella;Canada;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Ostrinia nubilalis;Canada;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;Canada;Nearctic;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;Canada;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Zeiraphera diniana;Canada;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Orthotaenia undulana;Canada;Nearctic;1.0;;;1.0;0.0;0.0;;2020;Gilligan, T., Brown, J. and Baixeras, J. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(594)
Spodoptera exempta;Seychelles;Oceanina;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
