Species,Area,Cryptogenic,Introduced,Dispersal,Established,Eradicated,Intentional_Release,Year,Reference Year,Reference
Phthorimaea operculella,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Cactoblastis cactorum,United States,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Duponchelia fovealis,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Ostrinia nubilalis,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Grapholita molesta,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Galleria mellonella,United States,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae,Canada,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Coleophora deauratella,Canada,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera,Brazil,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera litura,Indian Asian Islands,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea absoluta,India,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda,India,,1.0,,1.0,0.0,,2018.0,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Carposina sasakii,China,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Hyphantria cunea,China,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
