AreaID;AreaName;Country;Continent;SubContinent
AFG.1_1;Afghanistan;Afghanistan;Asia;
AGO.1_1;Angola;Angola;Africa;
ALB.1_1;Albania;Albania;Europe;
AND.1_1;Andorra;Andorra;Europe;
ARE.1_1;United Arab Emirates;United Arab Emirates;Asia;
ARG.1_1;Argentina;Argentina;South America;
ARG.2_1;Argentina;Argentina;South America;
ARM.1_1;Armenia;Armenia;Asia;
ATA.1_1;Antarctica;Antarctica;Antarctica;
ATG.1_1;Antigua and Barbuda;Antigua and Barbuda;North America;
AUS.1_1;Australia;Australia;Australia;
AUS.2_1;Australian Islands;Australia;Australia;
AUS.3_1;Australian Oceania Territories;Australia;Oceania;
AUS.4_1;Australian Antarctic Territories;Australia;Antarctica;
AUS.5_1;Australian Asian Territories;Australia;Asia;
AUT.1_1;Austria;Austria;Europe;
AZE.1_1;Azerbaijan;Azerbaijan;Asia;
BDI.1_1;Burundi;Burundi;Africa;
BEL.1_1;Belgium;Belgium;Europe;
BEN.1_1;Benin;Benin;Africa;
BFA.1_1;Burkina Faso;Burkina Faso;Africa;
BGD.1_1;Bangladesh;Bangladesh;Asia;
BGR.1_1;Bulgaria;Bulgaria;Europe;
BHR.1_1;Bahrain;Bahrain;Asia;
BHS.1_1;Bahamas;Bahamas;North America;
BIH.1_1;Bosnia and Herzegovina;Bosnia and Herzegovina;Europe;
BLR.1_1;Belarus;Belarus;Europe;
BLZ.1_1;Belize;Belize;North America;
BOL.1_1;Bolivia;Bolivia;South America;
BRA.1_1;Brazil;Brazil;South America;
BRB.1_1;Barbados;Barbados;North America;
BRN.1_1;Brunei;Brunei;Asia;
BTN.1_1;Bhutan;Bhutan;Asia;
BWA.1_1;Botswana;Botswana;Africa;
CAF.1_1;Central African Republic;Central African Republic;Africa;
CAN.1_1;Canada;Canada;North America;
CHE.1_1;Switzerland;Switzerland;Europe;
CHL.1_1;Chile;Chile;South America;
CHN.1_1;China;China;Asia;
CHN.2_1;China;China;Asia;
CHN.3_1;China;China;Asia;
CIV.1_1;Côte d'Ivoire;Côte d'Ivoire;Africa;
CMR.1_1;Cameroon;Cameroon;Africa;
COD.1_1;Democratic Republic of the Congo;Democratic Republic of the Congo;Africa;
COG.1_1;Republic of the Congo;Republic of the Congo;Africa;
COL.1_1;Colombia;Colombia;South America;
COL.2_1;North America Colombian Islands;Colombia;North America;
COM.1_1;Comoros;Comoros;Africa;
CPV.1_1;Cabo Verde;Cabo Verde;Africa;
CRI.1_1;Costa Rica;Costa Rica;North America;
CUB.1_1;Cuba;Cuba;North America;
CYP.1_1;Cyprus;Cyprus;Asia;
CZE.1_1;Czechia;Czechia;Europe;
DEU.1_1;Germany;Germany;Europe;
DJI.1_1;Djibouti;Djibouti;Africa;
DMA.1_1;Dominica;Dominica;North America;
DNK.1_1;Denmark;Denmark;Europe;
DNK.2_1;Denmark North American Territory;Denmark;North America;
DNK.3_1;Faroe;Denmark;Europe;
DOM.1_1;Dominican Republic;Dominican Republic;North America;
DZA.1_1;Algeria;Algeria;Africa;
ECU.1_1;Ecuador;Ecuador;South America;
ECU.2_1;Ecuador;Ecuador;South America;
EGY.1_1;Egypt;Egypt;Africa;
ERI.1_1;Eritrea;Eritrea;Africa;
ESH.1_1;Western Sahara;Western Sahara;Africa;
ESP.1_1;Spain;Spain;Europe;
ESP.1_2;Spain;Spain;Africa;
ESP.2_1;Spain;Spain;Africa;
ESP.3_1;Spain;Spain;Europe;
EST.1_1;Estonia;Estonia;Europe;
ETH.1_1;Ethiopia;Ethiopia;Africa;
FIN.1_1;Finland;Finland;Europe;
FIN.2_1;Finland Islands;Finland;Europe;
FJI.1_1;Fiji;Fiji;Oceania;Melanesia
FRA.1_1;France;France;Europe;
FRA.2_1;French European Islands;France;Europe;
FRA.3_1;French African Islands;France;Africa;
FRA.4_1;French Antarctic Islands;France;Antarctica;
FRA.5_1;French North American Islands;France;North America;
FRA.6_1;French Polynesia;France;Oceania;Polynesia
FRA.7_1;New Caledonia;France;Oceania;Melanesia
FRA.8_1;French Guiana;France;South America;
