Species;AcceptedSpecies;Genus;Family;Butterfly
Ostrinia nubilalis;Ostrinia nubilalis;Ostrinia;Crambidae;0
Agrotis ipsilon;Agrotis ipsilon;Agrotis;Noctuidae;0
Zeiraphera diniana;Zeiraphera griseana;Zeiraphera;Tortricidae;0
Plutella xylostella;Plutella xylostella;Plutella;Plutellidae;0
Spodoptera frugiperda;Spodoptera frugiperda;Spodoptera;Noctuidae;0
Helicoverpa armigera;Helicoverpa armigera;Helicoverpa;Noctuidae;0
Spodoptera exempta;Spodoptera exempta;Spodoptera;Noctuidae;0
Coleophora deauratella;Coleophora deauratella;Coleophora;Coleophoridae;0
Hypsipyla grandella;Hypsipyla grandella;Hypsipyla;Pyralidae;0
Neoleucinodes elegantalis;Neoleucinodes elegantalis;Neoleucinodes;Crambidae;0
Gymnandrosoma aurantianum;Gymnandrosoma aurantianum;Gymnandrosoma;Tortricidae;0
Sitotroga cerealella;Sitotroga cerealella;Sitotroga;Gelechiidae;0
Phyllocnistis citrella;Phyllocnistis citrella;Phyllocnistis;Gracillariidae;0
Spodoptera litura;Spodoptera litura;Spodoptera;Noctuidae;0
Pectinophora gossypiella;Pectinophora gossypiella;Pectinophora;Gelechiidae;0
Phthorimaea absoluta;Phthorimaea absoluta;Phthorimaea;Gelechiidae;0
Crocidosema plebejana;Crocidosema plebejana;Crocidosema;Tortricidae;0
Conogethes punctiferalis;Conogethes punctiferalis;Conogethes;Crambidae;0
Erionota thrax;Erionota thrax;Erionota;Hesperiidae;1
Carposina sasakii;Carposina sasakii;Carposina;Carposinidae;0
Hyphantria cunea;Hyphantria cunea;Hyphantria;Erebidae;0
Pieris rapae;Pieris rapae;Pieris;Pieridae;1
Spodoptera eridania;Spodoptera eridania;Spodoptera;Noctuidae;0
Galleria mellonella;Galleria mellonella;Galleria;Pyralidae;0
Grapholita molesta;Grapholita molesta;Grapholita;Tortricidae;0
Pyroderces rileyi;Anatrachyntis rileyi;Anatrachyntis;Cosmopterigidae;0
Helicoverpa zea;Helicoverpa zea;Helicoverpa;Noctuidae;0
Chilo partellus;Chilo partellus;Chilo;Crambidae;0
Phthorimaea operculella;Phthorimaea operculella;Phthorimaea;Gelechiidae;0
Papilio demoleus;Papilio demoleus;Papilio;Papilionidae;1
Lymantria dispar;Lymantria dispar;Lymantria;Erebidae;0
Duponchelia fovealis;Duponchelia fovealis;Duponchelia;Crambidae;0
Orthotaenia undulana;Orthotaenia undulana;Orthotaenia;Tortricidae;0
Cactoblastis cactorum;Cactoblastis cactorum;Cactoblastis;Pyralidae;0
Spodoptera littoralis;Spodoptera littoralis;Spodoptera;Noctuidae;0
Pieris brassicae;Pieris brassicae;Pieris;Pieridae;1
Lymantria mathura;Lymantria mathura;Lymantria;Erebidae;0
Chilo suppressalis;Chilo suppressalis;Chilo;Crambidae;0
Opogona sacchari;Opogona sacchari;Opogona;Tineidae;0
Erionota torus;Erionota torus;Erionota;Hesperiidae;1
Noctua pronuba;Noctua pronuba;Noctua;Noctuidae;0
Cryptoblabes gnidiella;Cryptoblabes gnidiella;Cryptoblabes;Pyralidae;0
Autographa gamma;Autographa gamma;Autographa;Noctuidae;0
Epiphyas postvittana;Epiphyas postvittana;Epiphyas;Tortricidae;0
Prays citri;Prays citri;Prays;Praydidae;0
Stenoma catenifer;Stenoma catenifer;Stenoma;Depressariidae;0
Leucoptera malifoliella;Leucoptera malifoliella;Leucoptera;Lyonetiidae;0
Dendrolimus punctatus;Dendrolimus punctata;Dendrolimus;Lasiocampidae;0
Adoxophyes orana;Adoxophyes orana;Adoxophyes;Tortricidae;0
Mythimna unipuncta;Mythimna unipuncta;Mythimna;Noctuidae;0
Chrysodeixis chalcites;Chrysodeixis chalcites;Chrysodeixis;Noctuidae;0
Cydalima perspectalis;Cydalima perspectalis;Cydalima;Crambidae;0
Conopomorpha cramerella;Conopomorpha cramerella;Conopomorpha;Gracillariidae;0
Parapoynx crisonalis;Parapoynx crisonalis;Parapoynx;Crambidae;0
Cacoecimorpha pronubana;Cacoecimorpha pronubana;Cacoecimorpha;Tortricidae;0
Gypsonoma aceriana;Gypsonoma aceriana;Gypsonoma;Tortricidae;0
Rhyacionia buoliana;Rhyacionia buoliana;Rhyacionia;Tortricidae;0
Argyresthia pruniella;Argyresthia pruniella;Argyresthia;Argyresthiidae;0
Acleris variegana;Acleris variegana;Acleris;Tortricidae;0
Caloptilia syringella;Gracillaria syringella;Gracillaria;Gracillariidae;0
Enarmonia formosana;Enarmonia formosana;Enarmonia;Tortricidae;0
Lobesia botrana;Lobesia botrana;Lobesia;Tortricidae;0
Ectomyelois ceratoniae;Ectomyelois ceratoniae;Ectomyelois;Pyralidae;0
Thaumatotibia leucotreta;Thaumatotibia leucotreta;Thaumatotibia;Tortricidae;0
Athrips rancidella;Athrips rancidella;Athrips;Gelechiidae;0
Opogona omoscopa;Opogona omoscopa;Opogona;Tineidae;0
Cameraria ohridella;Cameraria ohridella;Cameraria;Gracillariidae;0
Acrolepiopsis assectella;Acrolepia assectella;Acrolepia;Glyphipterigidae;0
Phyllonorycter issikii;Phyllonorycter issikii;Phyllonorycter;Gracillariidae;0
Paranthrene tabaniformis;Paranthrene tabaniformis;Paranthrene;Sesiidae;0
Dendrolimus sibiricus;Dendrolimus sibiricus;Dendrolimus;Lasiocampidae;0
