ReferenceID,BibliographicReference,ReferenceYear
REF1,"""Turner R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo""",2024.0
REF2,"""van Nieukerken E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48""",2007.0
REF3,"""Sefrova H. (2003). Invasions of Lithocolletinae species in Europe - Causes kinds limits and ecological impact (Lepidoptera Gracillariidae). Ekologia (Bratislava). 22(2): 132-142""",2003.0
REF4,"""Barnes M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.""",2002.0
REF5,"""Frank J. McCoy E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28""",1992.0
REF6,"""Edwards E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340""",1978.0
REF7,"""Cooley T. Reardon R. (2022). Field Guide to the Slug Moths (Lepidoptera: Limacodidae) of West Virginia. Forest Service U.S. Department of Agriculture. 84pp""",2022.0
REF8,"""Goudarzi M. (2023). Structure function and evolution of nettle caterpillar (Lepidoptera: Limacodidae) venom toxins. The Australian Entomologist. 50(3): 351-356""",2023.0
REF9,"""Clarke J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416""",1986.0
REF10,"""Powell J. Burns J. (1971). Colonization of the northeastern United States by two Palearctic moths (Lepidoptera: Tortricidae). Psyche: A Journal of Entomology. 78(1): 38-48""",1971.0
REF11,"""Gilligan T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594""",2020.0
REF12,"""Alipanah H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152""",2009.0
REF13,"""Lopez-Vaamonde C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668""",2010.0
REF14,"""Zimmerman E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii Honolulu Hawaii United States of America""",1978.0
REF15,"""Stojanovic D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120""",2017.0
REF16,"""Guenee A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret)""",1852.0
REF17,"""Roque-Albelo L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands Ecuador. [PhD Thesis Cardiff University]""",2006.0
REF18,"""Shropshire K. Tallamy D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys""",2025.0
REF19,"""Braby M. et al. (2014). Spatial distribution and range expansion of the Tawny Coster butterfly Acraea terpsicore (Linnaeus 1758) (Lepidoptera: Nymphalidae) in South-East Asia and Australia. Insect Conservation Diversity. 7: 132-143""",2014.0
REF20,"""Chowdhury S. et al. (2021). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27(3): 402-415""",2021.0
REF21,"""Boyes D. et al. (2021). The genome sequence of the sycamore Acronicta aceris (Linnaeus 1758). Wellcome Open Research. 6: 326""",2021.0
REF22,"""Hoare R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47""",2001.0
REF23,"""Landry J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353""",2007.0
REF24,"""Gaedike R. (2016). New and poorly known Acrolepiinae from the Palaearctic Afrotropical Neotropical and Oriental regions (Lepidoptera: Glyphipterigidae). Contributions to Entomology. 66(2): 257-264""",2016.0
REF25,"""Choldumrongkul S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213""",2007.0
REF26,"""Chutia B. et al. (2016). Conservation strategies of Actias selene Hubner: A wild silk moth in Nagaland India. Environment Conservation Journal. 17(1): 41-45""",2016.0
REF27,"""Lok A. et al. (2012). The Native Fauna of the Native Garden at Hortpark: Birds Fishes Amphibians Reptiles Butterflies Moths Damselflies and Dragonflies. Raffles Museum of Biodiversity Research National University of Singapore and Centre for Urban Greenery and Ecology National Parks Board. Singapore""",2012.0
REF28,"""Trematerra P. Jel J. (2003). Aethes rubiginana (Walsingham 1903) in Francia ed Epibactra sareptana (Herrich-Schaffer 1861) in Italia (Lepidoptera Tortricidae ). Bollettino di Zoologia Agraria e di Bachicoltura. 35(2): 107-110""",2003.0
REF29,"""CAB International (CABI) (2024). CABI Invasive Species Compendium.""",2024.0
REF30,"""Perez C. et al. (2018). Agathodes designalis (Guenee 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617""",2018.0
REF31,"""Nazari V. et al. (2018). The European Peacock butterfly Aglais io (Linnaeus 1758) in North America (Lepidoptera: Nymphalidae). News of The Lepidopterists Society. 60(3): 128-129""",2018.0
REF32,"""McKenna D. et al. (2001). A native hymenopteran predator of Agonopterix alstroemeriana (Lepidoptera: Oecophoridae) in East-Central Illinois. The Great Lakes Entomologist. 34(1): 10""",2001.0
REF33,"""Zhu X. et al. (2023). New species and newly recorded species of the genus Agonopterix Hubner [1825] (Lepidoptera: Depressariidae) from China. Zootaxa. 5258 (4): 379-404""",2023.0
REF34,"""Ireson J. et al. (2013). Host testing establishment and biology of the gorse soft shoot moth Agonopterix umbellana (Fabricius)(Lepidoptera: Oecophoridae) a potential biological control agent for gorse Ulex europaeus L.(Fabaceae) in Australia. Biological Control. 67(3): 451-461""",2013.0
REF35,"""Hill R. et al. (1995). Suitability of Agonopterix ulicetella (Lepidoptera: Oecophoridae) as a Control for Ulex europaeus. Biocontrol Science and Technology. 5: 3-10""",1995.0
