GNOLEP:speciesID,GNOLEP:acceptedSpeciesID,dwc:family,dwc:genus,dwc:scientificName
SP1,SP1,Pieridae,Abaeis,Abaeis nicippe
SP2,SP2,Nepticulidae,Acalyptris,Acalyptris platani
SP3,SP3,Crambidae,Acentria,Acentria ephemerella
SP4,SP4,Erebidae,Achaea,Achaea ablunaris
SP5,SP5,Erebidae,Achaea,Achaea janata
SP6,SP1098,Limacodidae,Sibine,Acharia apicalis
SP7,SP7,Limacodidae,Acharia,Acharia stimulea
SP8,SP8,Pyralidae,Achroia,Achroia grisella
SP9,SP9,Crambidae,Achyra,Achyra affinitalis
SP10,SP10,Tortricidae,Acleris,Acleris comariana
SP11,SP11,Tortricidae,Acleris,Acleris forsskaleana
SP12,SP12,Tortricidae,Acleris,Acleris holmiana
SP13,SP13,Tortricidae,Acleris,Acleris rhombana
SP14,SP14,Tortricidae,Acleris,Acleris undulana
SP15,SP15,Tortricidae,Acleris,Acleris variegana
SP16,SP16,Tortricidae,Acleris,Acleris zimmermani
SP17,SP17,Noctuidae,Acontia,Acontia candefacta
SP18,SP18,Noctuidae,Acontia,Acontia crocata
SP19,SP20,Nymphalidae,Acraea,Acraea terpiscore
SP20,SP20,Nymphalidae,Acraea,Acraea terpsicore
SP21,SP21,Pyralidae,Acrobasis,Acrobasis suavella
SP22,SP22,Gracillariidae,Acrocercops,Acrocercops laciniella
SP23,SP23,Glyphipterigidae,Acrolepia,Acrolepia assectella
SP24,SP23,Glyphipterigidae,Acrolepia,Acrolepiopsis assectella
SP25,SP1312,Glyphipterigidae,Acrolepia,Acrolepiopsis jaspidata
SP26,SP26,Glyphipterigidae,Acrolepiopsis,Acrolepiopsis sapporensis
SP27,SP27,Noctuidae,Acronicta,Acronicta rumicis
SP28,SP624,Saturniidae,Graellsia,Actias isabellae
SP29,SP29,Saturniidae,Actias,Actias selene
SP30,SP1334,Noctuidae,Chloantha,Actinotia hyperici
SP31,SP31,Tortricidae,Adoxophyes,Adoxophyes privatana
SP32,SP32,Tortricidae,Aethes,Aethes rubiginana
SP33,SP33,Tortricidae,Aethes,Aethes rutilana
SP34,SP34,Tortricidae,Agapeta,Agapeta zoegana
SP35,SP35,Crambidae,Agassiziella,Agassiziella angulipennis
