GNOLEP:speciesID,dwc:continent,GNOLEP:realmID,GNOLEP:referenceID
SP1,South America,RLM1,REF1
SP2,Asia,RLM11,REF2
SP2,Europe,RLM11,REF3
SP2,Europe,RLM11,REF2
SP2,Africa,RLM8,REF3
SP2,Asia,RLM8,REF2
SP2,Asia,RLM10,REF3
SP3,Europe,RLM11,REF1
SP3,Asia,RLM11,REF1
SP5,Australia,RLM2,REF4
SP5,Oceania,RLM2,REF4
SP5,Oceania,RLM9,REF4
SP5,South America,RLM1,REF4
SP5,Asia,RLM6,REF4
SP5,North America,RLM9,REF1
SP7,North America,RLM9,REF5
SP7,North America,RLM7,REF5
SP7,North America,RLM9,REF6
SP179,South America,RLM1,REF7
SP179,North America,RLM7,REF7
SP8,Africa,RLM3,REF8
SP8,Australia,RLM2,REF8
SP8,Africa,RLM4,REF8
SP8,North America,RLM9,REF8
SP8,South America,RLM1,REF8
SP8,Oceania,RLM5,REF8
SP8,Asia,RLM6,REF8
SP8,Europe,RLM11,REF8
SP8,North America,RLM7,REF8
SP8,South America,RLM7,REF8
SP8,Africa,RLM8,REF8
SP8,Asia,RLM10,REF8
SP8,Europe,RLM11,REF1
SP8,Asia,RLM11,REF1
SP8,Africa,RLM3,REF1
SP8,Oceania,RLM5,REF1
SP9,Australia,RLM2,REF1
SP10,Europe,RLM11,REF1
SP11,Europe,RLM11,REF9
SP11,Europe,RLM11,REF10
SP11,Europe,RLM11,REF1
SP12,Asia,RLM11,REF10
SP12,Europe,RLM11,REF10
SP12,Europe,RLM11,REF1
SP12,Asia,RLM11,REF1
SP13,Asia,RLM11,REF11
SP13,Europe,RLM11,REF11
SP13,Europe,RLM11,REF1
SP13,Asia,RLM11,REF1
SP14,Asia,RLM6,REF12
SP14,Asia,RLM11,REF12
SP14,Asia,RLM10,REF12
SP14,Asia,RLM11,REF1
SP14,Asia,RLM6,REF1
SP15,Asia,RLM11,REF11
SP15,Europe,RLM11,REF11
SP15,Africa,RLM8,REF11
SP15,Asia,RLM8,REF11
SP15,Asia,RLM10,REF11
SP15,Europe,RLM11,REF1
SP15,Asia,RLM11,REF1
SP16,North America,RLM9,REF13
SP16,South America,RLM1,REF1
SP17,North America,RLM9,REF14
SP17,North America,RLM9,REF1
SP18,Australia,RLM2,REF15
SP18,Asia,RLM6,REF15
SP1292,South America,RLM1,REF16
SP1292,North America,RLM9,REF17
SP1292,North America,RLM7,REF17
SP1292,South America,RLM7,REF17
SP1292,South America,RLM1,REF17
SP1295,North America,RLM9,REF16
SP1295,South America,RLM1,REF16
SP1295,North America,RLM7,REF17
SP1295,South America,RLM1,REF17
SP1295,North America,RLM9,REF17
SP1295,South America,RLM7,REF17
SP20,Asia,RLM6,REF18
SP20,Asia,RLM6,REF19
SP21,Europe,RLM11,REF20
SP21,Europe,RLM11,REF1
SP22,Australia,RLM2,REF21
SP22,Australia,RLM2,REF1
SP23,Europe,RLM11,REF22
SP1312,South America,RLM1,REF23
SP29,Asia,RLM6,REF24
SP29,Asia,RLM6,REF25
SP29,Asia,RLM11,REF24
SP29,Asia,RLM8,REF24
SP29,Asia,RLM10,REF24
SP29,Asia,RLM10,REF25
SP31,Asia,RLM6,REF26
SP31,Asia,RLM10,REF26
SP32,Europe,RLM11,REF27
SP32,Africa,RLM8,REF27
SP34,Europe,RLM11,REF1
SP86,Africa,RLM3,REF28
SP86,Australia,RLM2,REF28
SP35,Asia,RLM11,REF1
SP35,Asia,RLM6,REF1
SP36,North America,RLM9,REF29
SP36,South America,RLM1,REF29
SP36,South America,RLM7,REF29
SP36,North America,RLM9,REF1
SP36,South America,RLM1,REF1
SP37,Europe,RLM11,REF30
SP37,Asia,RLM11,REF30
SP86,Europe,RLM11,REF28
SP127,Asia,RLM11,REF28
SP127,Asia,RLM8,REF28
SP136,Asia,RLM11,REF28
SP39,Europe,RLM11,REF1
SP41,Europe,RLM11,REF1
SP41,Asia,RLM11,REF1
SP41,Asia,RLM6,REF1
SP42,Europe,RLM11,REF1
SP42,Asia,RLM11,REF1
SP42,Africa,RLM3,REF1
SP44,Europe,RLM11,REF31
SP45,Europe,RLM11,REF32
SP45,Asia,RLM11,REF32
