Species;Continent;Realm;ReferenceYear;Reference
Abaeis nicippe;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acalyptris platani;Asia;Palearctic;2007;van Nieukerken, E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48
Acalyptris platani;Europe;Palearctic;2003;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142
Acalyptris platani;Europe;Palearctic;2007;van Nieukerken, E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48
Acalyptris platani;Africa;Saharo-Arabian;2003;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142
Acalyptris platani;Asia;Saharo-Arabian;2007;van Nieukerken, E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48
Acalyptris platani;Asia;Sino-Japanese;2003;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142
Aglaonice hirtipalpis;South America;Neotropical;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Acentria ephemerella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acentria ephemerella;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Achaea ablunaris;South America;Neotropical;1992;Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28
Achaea ablunaris;South America;Panamanian;1992;Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28
Achaea ablunaris;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Achaea janata;Australia;Australian;1978;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340
Achaea janata;Oceania;Australian;1978;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340
Achaea janata;Oceania;Nearctic;1978;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340
Achaea janata;South America;Neotropical;1978;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340
Achaea janata;Asia;Oriental;1978;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340
Achaea janata;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acharia stimulea;North America;Nearctic;2022;Cooley, T., Reardon, R. (2022). Field Guide to the Slug Moths (Lepidoptera: Limacodidae) of West Virginia. Forest Service U.S. Department of Agriculture. 84pp
Acharia stimulea;North America;Panamanian;2022;Cooley, T., Reardon, R. (2022). Field Guide to the Slug Moths (Lepidoptera: Limacodidae) of West Virginia. Forest Service U.S. Department of Agriculture. 84pp
Acharia stimulea;North America;Nearctic;2023;Goudarzi, M. (2023). Structure, function, and evolution of nettle caterpillar (Lepidoptera: Limacodidae) venom toxins. The Australian Entomologist. 50(3): 351-356
Aglaonice hirtipalpis;North America;Panamanian;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Azeta repugnalis;South America;Neotropical;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Azeta repugnalis;North America;Panamanian;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Callopistria jamaicensis;North America;Panamanian;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Achroia grisella;Africa;Afrotropical;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Australia;Australian;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Africa;Madagascan;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;North America;Nearctic;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;South America;Neotropical;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Oceania;Oceanian;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Asia;Oriental;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Europe;Palearctic;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;North America;Panamanian;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;South America;Panamanian;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Africa;Saharo-Arabian;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Asia;Sino-Japanese;1986;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416
Achroia grisella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Achroia grisella;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Achroia grisella;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Achroia grisella;Oceania;Oceanian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Achyra affinitalis;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucania inconspicua;North America;Nearctic;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Leucania inconspicua;South America;Neotropical;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Leucania inconspicua;North America;Panamanian;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Acleris comariana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris forsskaleana;Europe;Palearctic;1971;Powell, J., Burns, J. (1971). Colonization of the northeastern United States by two Palearctic moths (Lepidoptera: Tortricidae). Psyche: A Journal of Entomology. 78(1): 38-48
Acleris forsskaleana;Europe;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Acleris forsskaleana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris holmiana;Asia;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Acleris holmiana;Europe;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Acleris holmiana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris holmiana;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris rhombana;Asia;Palearctic;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
Acleris rhombana;Europe;Palearctic;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
Acleris rhombana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris rhombana;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris undulana;Asia;Oriental;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Acleris undulana;Asia;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Acleris undulana;Asia;Sino-Japanese;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Acleris undulana;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris undulana;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris variegana;Asia;Palearctic;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
Acleris variegana;Europe;Palearctic;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
Acleris variegana;Africa;Saharo-Arabian;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
Acleris variegana;Asia;Saharo-Arabian;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
Acleris variegana;Asia;Sino-Japanese;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152
Acleris variegana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris variegana;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acleris zimmermani;North America;Nearctic;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Acleris zimmermani;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acontia candefacta;North America;Nearctic;2017;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120
Acontia candefacta;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acontia crocata;Australia;Australian;1852;Guenee, A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret)
Acontia crocata;Asia;Oriental;1852;Guenee, A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret)
Physula albipunctilla;North America;Panamanian;2002;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.
Acontia exigua;South America;Neotropical;2006;Roque-Albelo, L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands, Ecuador. [PhD Thesis, Cardiff University]
