AcceptedSpecies
Abaeis nicippe
Acalyptris platani
Acentria ephemerella
Achaea janata
Acharia stimulea
Achroia grisella
Achyra affinitalis
Acleris comariana
Acleris forsskaleana
Acleris holmiana
Acleris rhombana
Acleris undulana
Acleris variegana
Acleris zimmermani
Acontia candefacta
Acontia crocata
Acraea terpsicore
Acrobasis suavella
Acrocercops laciniella
Acrolepia assectella
Acrolepia jaspidata
Graellsia isabellae
Actias selene
Chloantha hyperici
Adoxophyes privatana
Aethes rubiginana
Agapeta zoegana
Agassiziella angulipennis
Agathodes designalis
Aglais io
Aglossa caprealis
Aglossa dimidiatus
Aglossa pinguinalis
Agonopterix alstromeriana
Agonopterix arenella
Agonopterix assimilella
Agonopterix ciliella
Agonopterix heracliana
Agonopterix nervosa
Agonopterix ulicetella
Agonoxena argaula
Agonoxena pyrogramma
Agrius cingulata
Agrius convolvuli
Leptologia lota
Anchoscelis lunosa
Agrotis ipsilon
Agrotis segetum
Anomis argillacea
Alucita objurgatella
Amorbia emigratella
Amphipyra tragopoginis
Amyelois transitella
Amyna axis
Amyna natalis
Anacampsis humilis
Anacampsis populella
Ephestia kuehniella
Anania hortulata
Anarsia lineatella
Anarta decepta
Anarta trifolii
Anartia lytraea
Anatrachyntis badia
Pyroderces incertulella
Anatrachyntis rileyi
Anatrachyntis simplex
Ancylostomia stercorea
Bleszynskia malacelloides
Anisoplaca cosmia
Anomis erosa
Anomis flava
Zale minerea
Anomis privata
Anomis sabulifera
Anstenoptilia marmorodactyla
Antheraea paphia
Antheraea pernyi
Antheraea yamamai
Anthophila fabriciana
Anthophila nemorana
Antiblemma acclinalis
Antichloris eriphia
Antichloris steinbachi
Antichloris viridis
Antigastra catalaunalis
Antispila oinophylla
Apamea crenata
Apamea remissa
Apamea unanimis
Aphnaeus schistacea
Corcyra cephalonica
Paralipsa gularis
Arenipses sabella
Aphomia sociella
Aplocera efformata
Aplocera plagiata
Apomyelois ceratoniae
Apopestes spectrum
Appias lyncida
Aproaerema modicella
Aproaerema simplexella
Apterona helicoidella
Araeopteron ecphaea
Archips fuscocupreanus
Archips podana
Archips rosana
Archips xylosteana
Arcola malloi
Argyresthia conjugella
Argyresthia cupressella
Argyresthia laevigatella
Argyresthia pruniella
Argyresthia thuiella
Argyresthia trifasciata
Argyria centrifugens
Argyria lacteella
Argyrogramma verruca
Ariadne ariadne
Aristaea thalassias
Aristotelia ivae
Monochroa hornigi
Artigisa melanephele
Artona martini
Ascalapha odorata
Ascalenia acaciella
Asciodes gordialis
Asota ficus
Assara seminivale
Ategumia matutinalis
Athetis tenuis
Athetis thoracica
Athrips mouffetella
Athrips pruinosella
Athrips rancidella
Auratonota dispersa
Notioplusia illustrata
Autosticha kyotensis
Autosticha modicella
Autosticha pelodes
Azeta repugnalis
Bactra minima
Bactra philocherda
Bactra venosana
Bagisara repanda
Balanomis encyclia
Barea asbolaea
Barea codrella
Barea confusella
Barea consignatella
Barea exarcha
Batia lunaris
Batrachedra amydraula
Batrachedra knabi
Batrachedra pinicolella
Bedellia orchilella
Bedellia somnulentella
Bema neuricella
Bifascioides leucomelanella
Bilobata subsecivella
Blastobasis adustella
Blastobasis decolorella
Blastobasis glandulella
Blastobasis lacticolella
Blastobasis marmorosella
Blastobasis maroccanella
Blastobasis rebeli
Blastobasis tarda
Blastobasis vittata
Blastodacna atra
Bocana manifestalis
Bohemannia pulverosella
Borbo cinnara
Borkhausenia fuscescens
Borkhausenia nefrax
Brachycyttarus griseus
Bradyrrhoa gilveolella
Brephidium exilis
Bucculatrix ainsliella
Bucculatrix chrysanthemella
Bucculatrix ivella
Bucculatrix parthenica
Bucculatrix thurberiella
Bucculatrix ulmifoliae
Cacocharis cymotoma
Cacoecimorpha pronubana
Cactoblastis cactorum
Cacyreus marshalli
Cadra calidella
Cadra cautella
Cadra figulilella
Callima formosella
Callopistria floridensis
Callopistria maillardi
Calophasia lunula
Caloptilia azaleella
Caloptilia coruscans
Caloptilia mabaella
Caloptilia negundella
Caloptilia roscipennella
Gracillaria syringella
Calpodes ethlius
Cameraria ohridella
Caphys biliniata
Capua intractana
Caradrina clavipalpis
Caradrina kadenii
Caradrina morpheus
Carcina quercana
Carmenta mimosa
Carpatolechia fugitivella
Carposina autologa
Carposina neurophorella
Carposina sasakii
Catocala fraxini
Cebysa leucotelus
Cerapteryx graminis
Chabula acamasalis
Chamaesphecia crassicornis
Chamaesphecia mysiniformis
Garella nilotica
Dasystoma salicella
Chiasmia aestimaria
Chilo partellus
Chilo sacchariphagus
Chilo suppressalis
Chloridea virescens
Chloroclystis filata
Chloroclystis insigillata
Chloroclystis pyrrholopha
Pasiphila rectangulata
Chlumetia brevisigna
Choreutis pariana
