Species;NAME_0;Realm;Cryptogenic;Dispersal;Eradicated;IntentionalRelease;Introduced;Established;ReportedFirstYear;Reference;ReferenceYear;AcceptedSpecies
Abaeis nicippe;Hawaii;Nearctic;0.0;;0.0;0.0;1.0;1.0;2013.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Abaeis nicippe
Abaeis nicippe;Hawaii;Nearctic;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0;Abaeis nicippe
Abaeis nicippe;Hawaii;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Austin, K., Rubinoff, D. (2022). Eleven New Records of Lepidoptera in the Hawaiian Islands including corrections to the Hawaiian Terrestrial Arthropod Checklist. Bishop Museum Occasional Papers 142: 49–74;2022.0;Abaeis nicippe
Abaeis nicippe;Hawaii;Nearctic;;;0.0;;1.0;1.0;2013.0;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0;Abaeis nicippe
Abaeis nicippe;Hawaii;Nearctic;;;0.0;0.0;1.0;1.0;2013.0;Rubinoff, D. et al. (2015). The Sleepy Orange transits the Pacific: a new butterfly species for Hawaii. News of The Lepidopterists Society. 57(2): 72-73;2015.0;Abaeis nicippe
Acalyptris platani;United Kingdom;Palearctic;;;0.0;;1.0;1.0;2023.0;Richards, N. (2024). Acalyptris platani (Muller-Rutz, 1934)(Lep.: Nepticulidae) new to the British Isles. Entomologists Record and Journal of Variation. 136: 36-38;2024.0;Acalyptris platani
Acentria ephemerella;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acentria ephemerella
Acentria ephemerella;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1927.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acentria ephemerella
Acentria ephemerella;United States;Nearctic;0.0;;0.0;1.0;1.0;1.0;1927.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Acentria ephemerella
Acentria ephemerella;United States;Nearctic;0.0;;0.0;;;1.0;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0;Acentria ephemerella
Acentria ephemerella;United States;Nearctic;;;0.0;1.0;1.0;1.0;1927.0;Jacobs, J., Mangold, J. (2009). Ecology and Management of Eurasian Watermilfoil (Myriophyllum spicatum L.). United States Department of Agriculture. Natural Resources Conservation Service. Invasive Species Technical Note. MT-23;2009.0;Acentria ephemerella
Acentria ephemerella;United States;Nearctic;0.0;;0.0;;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acentria ephemerella
Acentria ephemerella;United States;Nearctic;0.0;;0.0;1.0;1.0;1.0;1930.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acentria ephemerella
Achaea ablunaris;United States;Nearctic;0.0;1.0;0.0;0.0;;;1989.0;Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28;1992.0;Achaea ablunaris
Achaea ablunaris;United States;Nearctic;0.0;;0.0;0.0;1.0;;1984.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Achaea ablunaris
Achaea ablunaris;United States;Nearctic;0.0;;0.0;0.0;;;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0;Achaea ablunaris
Achaea janata;Australia;Australian;0.0;;0.0;;1.0;1.0;;PaDIL (2025). The Pest and Disease Image Library (PaDIL).;2025.0;Achaea janata
Achaea janata;Hawaii;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Nishida, G. (2002). Hawaiian terrestrial arthropod checklist. Fourth edition. Bishop Museum Press. 313 pp;2002.0;Achaea janata
Achaea janata;Hawaii;Nearctic;0.0;;0.0;;1.0;1.0;;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0;Achaea janata
Achaea janata;New Zealand;Oceanian;0.0;;0.0;;1.0;1.0;;PaDIL (2025). The Pest and Disease Image Library (PaDIL).;2025.0;Achaea janata
Acharia apicalis;Denmark;Palearctic;;;0.0;;1.0;;;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0;Sibine apicalis
Acharia apicalis;Denmark;Palearctic;;;0.0;;1.0;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS.;2020.0;Sibine apicalis
