Reference;Reference Year
Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024
van Nieukerken, E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48;2007
Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142;2003
Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340;1978
Cooley, T., Reardon, R. (2022). Field Guide to the Slug Moths (Lepidoptera: Limacodidae) of West Virginia. Forest Service U.S. Department of Agriculture. 84pp;2022
Goudarzi, M. (2023). Structure, function, and evolution of nettle caterpillar (Lepidoptera: Limacodidae) venom toxins. The Australian Entomologist. 50(3): 351-356;2023
Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.;2002
Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416;1986
Powell, J., Burns, J. (1971). Colonization of the northeastern United States by two Palearctic moths (Lepidoptera: Tortricidae). Psyche: A Journal of Entomology. 78(1): 38-48;1971
Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020
Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;2009
Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010
Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978
Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017
Guenee, A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret);1852
Roque-Albelo, L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands, Ecuador. [PhD Thesis, Cardiff University];2006
Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025
Braby, M. et al. (2014). Spatial distribution and range expansion of the Tawny Coster butterfly, Acraea terpsicore (Linnaeus, 1758) (Lepidoptera: Nymphalidae), in South-East Asia and Australia. Insect Conservation Diversity. 7: 132-143;2014
Chowdhury, S. et al. (2021). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27(3): 402-415;2021
Boyes, D. et al. (2021). The genome sequence of the sycamore, Acronicta aceris (Linnaeus, 1758). Wellcome Open Research. 6: 326;2021
Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;2001
Landry, J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353;2007
Gaedike, R. (2016). New and poorly known Acrolepiinae from the Palaearctic, Afrotropical, Neotropical and Oriental regions (Lepidoptera: Glyphipterigidae). Contributions to Entomology. 66(2): 257-264;2016
Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213;2007
Chutia, B. et al. (2016). Conservation strategies of Actias selene Hubner: A wild silk moth in Nagaland, India. Environment Conservation Journal. 17(1): 41-45;2016
Lok, A. et al. (2012). The Native Fauna of the Native Garden at Hortpark: Birds, Fishes, Amphibians, Reptiles, Butterflies, Moths, Damselflies and Dragonflies. Raffles Museum of Biodiversity Research, National University of Singapore and Centre for Urban Greenery and Ecology, National Parks Board. Singapore;2012
Trematerra, P., Jel, J. (2003). Aethes rubiginana (Walsingham, 1903) in Francia ed Epibactra sareptana (Herrich-Schaffer, 1861) in Italia (Lepidoptera Tortricidae ). Bollettino di Zoologia Agraria e di Bachicoltura. 35(2): 107-110;2003
CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024
Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617;2018
Nazari, V. et al. (2018). The European Peacock butterfly, Aglais io (Linnaeus, 1758) in North America (Lepidoptera: Nymphalidae). News of The Lepidopterists Society. 60(3): 128-129;2018
McKenna, D. et al. (2001). A native hymenopteran predator of Agonopterix alstroemeriana (Lepidoptera: Oecophoridae) in East-Central Illinois. The Great Lakes Entomologist. 34(1): 10;2001
Zhu, X. et al. (2023). New species and newly recorded species of the genus Agonopterix Hubner, [1825] (Lepidoptera: Depressariidae) from China. Zootaxa. 5258 (4): 379-404;2023
Ireson, J. et al. (2013). Host testing, establishment and biology of the gorse soft shoot moth, Agonopterix umbellana (Fabricius)(Lepidoptera: Oecophoridae), a potential biological control agent for gorse, Ulex europaeus L.(Fabaceae), in Australia. Biological Control. 67(3): 451-461;2013
Hill, R. et al. (1995). Suitability of Agonopterix ulicetella (Lepidoptera: Oecophoridae) as a Control for Ulex europaeus. Biocontrol Science and Technology. 5: 3-10;1995
Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978
Clarke, B., Gates-Clarke, J. (1984). Insects of Micronesia, Microlepidoptera: Gelechioidea. Insects of Micronesia. 9(2): 145-155;1984
Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166;2006
Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273;2004
Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997
Esbjerg, P., Sigsgaard, L. (2014) Phenology and pest status of Agrotis segetum in a changing climate. Crop Protection, 62, 64–71;2014
EFSA Panel on Plant Health (EFSA PLH Panel), et al. (2021). Pest categorisation of Amyelois transitella. EFSA Journal. 19(6): 6666;2021
Barnett, L. et al. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021-1038;1999
Pogue, M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera: Noctuidae) of Great Smoky Mountains National Park. Zootaxa. 2499: 1-20;2010
Holloway, J. (2009). Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/;2009
Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America;1958
Yang, Z., Landry, J. (2019). Allopatric separation represents an overlooked cryptic species in the Anania hortulata species complex (Lepidoptera: Crambidae: Pyraustinae): congruence between genetic and morphological evidence. The Canadian Entomologist. 151(2): 163-186;2019
Weidemeyer, J. (1864). Catalogue of North American Butterflies. Proceedings of the Entomological Society. 2(1): 143-154;1864
Dawidowicz, L., Rozwalka, R. (2017). Anatrachyntis badia (Hodges, 1962) (Lepidoptera: Cosmopterigidae): the first report from Turkey and a case of importation to Poland. Turkish Journal of Zoology. 41: 60-63;2017
Hua, C. et al. (2018). A first record of Anatrachyntis badia (Hodges 1962)(Lepidoptera: Cosmopterigidae) on Zamia integrifolia (Zamiaceae). Florida Entomologist. 335-338;2018
Ronkay, L. et al. (2017). Xyleninae I. A Taxonomic Atlas of the Eurasian and North African Noctuoidea. Heterocera Press Ltd. Budapest, Hungary;2017
Barrow, R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis, McGill University, Quebec];1972
