ReferenceID,BibliographicReference,ReferenceYear
REF1,"""Abram P. et al. (2022). Natural History of Plutella armoraciae Busck 1912 A Sympatric Congener of the Diamondback Moth Plutella xylostella (L. 1758) in Southwestern Canada. The Journal of the Lepidopterists Society. 76(1): 25-39""",2022
REF2,"""Adair R. Scott J. (1989). The life-history and host specificity of Comostolopsis germana Prout (Lepidoptera: Geometridae) a biological control agent of Chrysanthemoides monilifera (Compositae). Bulletin of Entomological Research. 79(4): 649-657""",1989
REF3,"""Adams J. (1992). A new lichen moth record for the United States: Lycomorphodes sordida (Arctiidae: Lithosiinae) from south Texas. Journal of the Lepidopterists Society. 46(2): 160-161""",1992
REF4,"""Adams J. et al. (2013). Dinumma deponens Walker 1858 (Erebidae) is here to stay. News of the Lepidopterists Society. 55(4): 176-177""",2013
REF5,"""Adamski D. et al. (2009). Redescription and immature stages of Promalactis suzukiella (Matsumura)(Gelechioidea: Oecophoridae) a new introduction into the United States. Proceedings of the Entomological Society of Washington. 111(1): 204-214""",2009
REF6,"""Adamski D. Brown R. L. (2022). Larval pupal and adult morphology of the acorn moth Blastobasis glandulella (Riley 1871)(Lepidoptera: Gelechioidea: Blastobasidae). The Journal of the Lepidopterists Society. 76(1): 10-20""",2022
REF7,"""Agassiz D. (2004). Cypress trees and their moths. British wildlife. 15(4): 265-268""",2004
REF8,"""Agassiz D. (2007). Prays peregrina sp. n. (Yponomeutidae) a presumed adventive species in Greater London. Nota Lepidopterologica. 30(2): 407-410""",2007
REF9,"""Agassiz D. (2012). The Acentropinae (Lepidoptera: Pyraloidea: Crambidae) of Africa. Zootaxa. 3494(1): 1-73""",2012
REF10,"""Agboyi L. et al. (2016). Pesticide resistance in Plutella xylostella (Lepidoptera: Plutellidae) populations from Togo and Benin. International Journal of Tropical Insect Science. 36(4): 204-210""",2016
REF11,"""Aguila R. (2004). Lepidoptera (Insecta) de Topes de Collantes Sancti Spiritus Cuba. Boletin de la SEA Sociedad Entomologica Aragonisa. 34: 151-159""",2004
REF12,"""Agunbiade T. et al. (2014). Genetic differentiation among Maruca vitrata F.(Lepidoptera: Crambidae) populations on cultivated cowpea and wild host plants: implications for insect resistance management and biological control strategies. PLoS One. 9(3): e92072""",2014
REF13,"""Aigbedion-Atalor P. et al. (2019). Tuta absoluta (Lepidoptera: Gelechiidae) invasion in Nigeria: first report of its distribution. Journal of Plant Diseases and Protection. 126: 603-606""",2019
REF14,"""Al Haidar I. et al. (2017). Species diversity and habitat preference of butterflies (Insecta: Lepidoptera) in Inani Reserve Forest of Cox s Bazar Bangladesh. Journal of Insect Biodiversity and Systematics. 3(1): 47-67""",2017
REF15,"""Al-Khalidi N. Al-Zurfi S. (2025). First morphological and molecular identification of mealybug Cadra cautella (Lepidoptera: Pyralidae) in Karbala Iraq. Journal of Kerbala for Agricultural Sciences. 12(1): 29-36""",2025
REF16,"""Alario S. (2004). Paysandisia archon (Burmeister 1880) (Lepidoptera Castniidae) nuevas localizaciones en la Peninsula Iberica y su gestion. Boletin Sociedad Entomologica Aragonesa. 34: 237-246""",2004
