SpeciesID,Continent,RealmID,ReferenceID
SP1113,North America,RLM9,REF684
SP1113,North America,RLM7,REF684
SP1113,South America,RLM1,REF1096
SP1,Asia,RLM11,REF1110
SP1,Europe,RLM11,REF987
SP1,Europe,RLM11,REF1110
SP1,Africa,RLM8,REF987
SP1,Asia,RLM8,REF1110
SP1,Asia,RLM10,REF987
SP2,Europe,RLM11,REF597
SP2,Europe,RLM11,REF1096
SP2,Asia,RLM11,REF1096
SP3,South America,RLM1,REF358
SP3,South America,RLM7,REF358
SP3,South America,RLM1,REF1096
SP1106,Australia,RLM2,REF287
SP1106,Oceania,RLM2,REF287
SP1106,Oceania,RLM9,REF287
SP1106,South America,RLM1,REF287
SP1106,Asia,RLM6,REF287
SP1106,North America,RLM9,REF1096
SP5,North America,RLM9,REF208
SP5,North America,RLM7,REF208
SP5,North America,RLM9,REF414
SP6,Africa,RLM3,REF193
SP6,Australia,RLM2,REF193
SP6,Africa,RLM4,REF193
SP6,North America,RLM9,REF193
SP6,South America,RLM1,REF193
SP6,Oceania,,REF193
SP6,Asia,RLM6,REF193
SP6,Europe,RLM11,REF193
SP6,North America,RLM7,REF193
SP6,South America,RLM7,REF193
SP6,Africa,RLM8,REF193
SP6,Asia,RLM10,REF193
SP6,Europe,RLM11,REF1096
SP6,Asia,RLM11,REF1096
SP6,Africa,RLM3,REF1096
SP6,Oceania,,REF1096
SP7,Australia,RLM2,REF418
SP7,Australia,RLM2,REF1096
SP8,North America,RLM9,REF396
SP8,Europe,RLM11,REF396
SP8,Asia,RLM10,REF396
SP8,Europe,RLM11,REF1096
SP9,Europe,RLM11,REF902
SP9,Europe,RLM11,REF394
SP9,Europe,RLM11,REF1096
SP10,Asia,RLM11,REF394
SP10,Europe,RLM11,REF394
SP10,Europe,RLM11,REF1096
SP10,Asia,RLM11,REF1096
SP11,Asia,RLM11,REF19
SP11,Europe,RLM11,REF19
SP11,Europe,RLM11,REF1096
SP11,Asia,RLM11,REF1096
