Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference;AcceptedSpecies
0;Asia;Chilo infuscatellus;Saharo-Arabian;2024;Li, A., et al. (2024). Sugarcane borers: species, distribution, damage and management options. Journal of Pest Science. 97(3): 1171-1201;Chilo infuscatellus
0;Asia;Actias selene;Saharo-Arabian;2007;Choldumrongkul, S., et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213;Actias selene
0;Asia;Caloptilia roscipennella;Saharo-Arabian;2024;de Prins, J., de Prins, W. (2024). Global Taxonomic Database of Gracillariidae (Lepidoptera). Avaliable at: http://www.gracillariidae.net;Caloptilia roscipennella
0;Asia;Elophila nymphaeata;Saharo-Arabian;1984;Speidel, W. (1984). Revision der Acentropinae des palaearktischen Faunengebietes (Lepidoptera: Crambidae). Neue Entomologische Nachrichten. 12: 1-157;Elophila nymphaeata
0;Asia;Papilio demoleus;Saharo-Arabian;2020;Riaz, S., et al. (2020). Morphology, life cycle and management of two invasive subspecies of Papilio demoleus (Lepidoptera: Papilionidae): A review. Journal of Applied Entomology. 144: 845-856;Papilio demoleus
0;Asia;Garella musculana;Saharo-Arabian;2018;Yildiz, Y., et al. (2018). Erschoviella musculana Erschoff 1874, a new record and a new walnut pest in Turkey. Journal of Bartin Faculty of Forestry. 20(2): 296-302;Garella musculana
0;Asia;Tyta luctuosa;Saharo-Arabian;1988;Rosenthal, S., et al. (1988). Biology of Tyta luctuosa [Lep.: Noctuidae] and its potential value as a biological control agent for the weed Convolvulus arvensis. Entomophaga. 33: 185-192;Tyta luctuosa
0;Asia;Scirpophaga incertulas;Saharo-Arabian;2006;Chen, F., et al. (2006). A review of the genus Scirpophaga Treitschke, 1832 in China (Lepidoptera: Pyralidae). Zootaxa. 1236(1): 1-22;Scirpophaga incertulas
0;Asia;Daphnis nerii;Saharo-Arabian;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia). Available at: https://tpittaway.tripod.com/sphinx/list.htm;Daphnis nerii
0;Asia;Lampides boeticus;Saharo-Arabian;2021;Edge, D., Westrip, J. (2021). Lampides boeticus. The IUCN Red List of Threatened Species 2021: e.T174427A161341394;Lampides boeticus
0;Asia;Chilo partellus;Saharo-Arabian;1990;Harris, K. (1990). Keynote address: bioecology of Chilo species. International Journal of Tropical Insect Science. 11(4): 467-477;Chilo partellus
0;Asia;Ascalenia acaciella;Saharo-Arabian;2006;Koster, S., Sammut, P. (2006). Faunistic notes on Momphidae, Batrachedridae, Stathmopodidae and Cosmopterigidae from the Maltese Islands. Nota lepidopterologica. 29(1): 49-63;Ascalenia acaciella
0;Asia;Danaus chrysippus;Saharo-Arabian;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680;Danaus chrysippus
0;Asia;Garella musculana;Saharo-Arabian;2023;Scaccini, D., et al. (2023). First report of Garella musculana (Erschov, 1874) (Lepidoptera: Nolidae) in Italy with insights into its identity. Journal of Applied Entomology. 147: 239-243;Garella musculana
0;Asia;Parapoynx diminutalis;Saharo-Arabian;1996;Buckingham, G., Bennett, C. (1996). Laboratory biology of an immigrant Asian moth, Parapoynx diminutalis (Lepidoptera: Pyralidae), on Hydrilla verticillata (Hydrocharitaceae). Florida Entomologist. 79(3): 353-353;Parapoynx diminutalis
0;Asia;Acleris variegana;Saharo-Arabian;2009;Alipanah, H. (2009). A brief study on the tribes Tortricini and Archipini (Lepidoptera: Tortricinae) from Iran. Entomofauna. 10: 137-152;Acleris variegana
0;Asia;Earias vittella;Saharo-Arabian;2003;Nash, S. (2003). Earias vittella (Fabricius) (Lep.: Noctuidae) the first occurrence of wild-caught moths in Europe. Entomologists Record and Journal of Variation. 115: 187-188;Earias vittella
0;Asia;Lymantria dispar;Saharo-Arabian;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp;Lymantria dispar
0;Asia;Elophila difflualis;Saharo-Arabian;2010;Chen, F., et al. (2010). A review of the genus Elophila Hubner, 1822 in China (Lepidoptera: Crambidae: Acentropinae). Aquatic Insects. 32(1): 35-60;Elophila difflualis
0;Asia;Caradrina clavipalpis;Saharo-Arabian;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Caradrina clavipalpis
0;Africa;Bactra philocherda;Afrotropical;1964;Diakonoff, A. (1964). Further records and descriptions of the species of Bactra Stephens (Lepidoptera, Tortricidae). Zoologische Verhandelingen. 70(1): 1-81;Bactra philocherda
0;Africa;Sesamia calamistis;Afrotropical;1953;Tams, W., Bowden, J. (1953). A revision of the African species of Sesamia Guenee and related genera (Agrotidae-Lepidoptera). Bulletin of Entomological Research. 43(4): 645-678;Sesamia calamistis
0;Africa;Chrysodeixis chalcites;Afrotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
0;Africa;Euchromia lethe;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Euchromia lethe
0;Africa;Hypolimnas misippus;Afrotropical;2021;Coetzer, A., Westrip, J. (2021). Hypolimnas misippus. The IUCN Red List of Threatened Species 2021: e.T62148588A161331411;Hypolimnas misippus
0;Africa;Papilio demodocus;Afrotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Papilio demodocus
0;Africa;Euclasta varii;Afrotropical;1973;Popescu-Gorj, A., Constantinescu, A. (1973). New African species of Euclasta (Lepidoptera, Pyraustinae). Revue roumaine de Biologie - Serie de Zoologie. 18(6): 393-402;Euclasta varii
0;Africa;Nyctemera apicalis;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Nyctemera apicalis
0;Africa;Hypena commixtalis;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Hypena commixtalis
0;Africa;Lampides boeticus;Afrotropical;2021;Edge, D., Westrip, J. (2021). Lampides boeticus. The IUCN Red List of Threatened Species 2021: e.T174427A161341394;Lampides boeticus
0;Africa;Hypena jussalis;Afrotropical;2024;de Prins, J., de Prins, W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Hypena jussalis
0;Africa;Thaumatotibia leucotreta;Afrotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Thaumatotibia leucotreta
0;Africa;Danaus chrysippus;Afrotropical;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species. 2021: e.T174455A222994680;Danaus chrysippus
0;Europe;Acalyptris platani;Palearctic;2003;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142;Acalyptris platani
0;Europe;Apamea remissa;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro;Apamea remissa
0;Europe;Chrysodeixis chalcites;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Chrysodeixis chalcites
0;Europe;Deilephila elpenor;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro;Deilephila elpenor
