AcceptedSpecies
Abaeis nicippe
Acalyptris platani
Acentria ephemerella
Achaea ablunaris
Achaea janata
Sibine apicalis
Acharia stimulea
Acherontia lachesis
Achroia grisella
Achyra affinitalis
Acleris comariana
Acleris forsskaleana
Acleris holmiana
Acleris minuta
Acleris rhombana
Acleris semipurpurana
Acleris undulana
Acleris variegana
Acleris zimmermani
Acontia candefacta
Acontia crocata
Acraea terpsicore
Acrobasis pirivorella
Acrobasis suavella
Acrocercops laciniella
Acrolepia assectella
Acrolepia jaspidata
Acrolepiopsis sapporensis
Graellsia isabellae
Actias selene
Chloantha hyperici
Adoxophyes melia
Adoxophyes orana
Adoxophyes privatana
Aethes rubiginana
Aethes rutilana
Agapeta zoegana
Agassiziella angulipennis
Agathodes designalis
Agathodes ostentalis
Aglaonice hirtipalpis
Aglossa caprealis
Aglossa dimidiatus
Aglossa pinguinalis
Agonopterix alstromeriana
Agonopterix arenella
Agonopterix assimilella
Agonopterix ciliella
Agonopterix heracliana
Agonopterix nervosa
Agonopterix ulicetella
Agonoxena argaula
Agonoxena pyrogramma
Dione vanillae
Agrius cingulata
Agrius convolvuli
Leptologia lota
Anchoscelis lunosa
Agrotis ipsilon
Agrotis segetum
Anomis argillacea
Aloa lactinea
Alucita objurgatella
Amorbia emigratella
Amphipyra tragopoginis
Amyelois transitella
Amyna axis
Amyna natalis
Anacampsis humilis
Anacampsis populella
Iridopsis fragilaria
Ephestia kuehniella
Anania hortulata
Anarsia lineatella
Anarta decepta
Anarta edwardsii
Anarta trifolii
Anartia lytraea
Anartia fatima
Anatrachyntis badia
Pyroderces incertulella
Anatrachyntis rileyi
Anatrachyntis simplex
Ancylis comptana
Ancylostomia stercorea
Angelabella tecomae
Bleszynskia malacelloides
Anisoplaca cosmia
Anomis erosa
Anomis flava
Zale minerea
Anomis luridula
Anomis privata
Anomis sabulifera
Anstenoptilia marmarodactyla
Anstenoptilia marmorodactyla
Antheraea paphia
Antheraea pernyi
Antheraea polyphemus
Antheraea yamamai
Anthophila fabriciana
Anthophila nemorana
Antiblemma acclinalis
Anticarsia gemmatalis
Antichloris eriphia
Antichloris steinbachi
Antichloris viridis
Antigastra catalaunalis
Antispila oinophylla
Thyas coronata
Anypsipyla univitella
Apamea crenata
Apamea remissa
Apamea unanimis
Aphantopus hyperantus
Aphnaeus schistacea
Corcyra cephalonica
Paralipsa gularis
Arenipses sabella
Aphomia sociella
Aphrissa orbis
Aplocera efformata
Aplocera plagiata
Apomyelois ceratoniae
Apopestes spectrum
Appias lyncida
Aproaerema modicella
Aproaerema simplexella
Apterona helicoidella
Araeopteron ecphaea
Archips cerasivorana
Archips fuscocupreanus
Archips oporana
Archips podana
Archips rosana
Archips xylosteana
Arcola malloi
Arcte coerula
Argynnis paphia
Argyresthia conjugella
Argyresthia cupressella
Argyresthia laevigatella
Argyresthia pruniella
Argyresthia thuiella
Argyresthia trifasciata
Argyria centrifugens
Argyria lacteella
Argyrogramma verruca
Argyrotaenia franciscana
Ariadne ariadne
Aristaea onychota
Aristaea thalassias
Aristotelia ivae
Monochroa hornigi
Artigisa melanephele
Artona martini
Ascalapha odorata
Ascalenia acaciella
Asciodes gordialis
Asota ficus
Assara seminivale
Ategumia adipalis
Ategumia ebulealis
Atemelia torquatella
Athetis tenuis
Athetis thoracica
Athrips mouffetella
Athrips pruinosella
Athrips rancidella
Auratonota dispersa
Auratonota dominica
Autographa gamma
Notioplusia illustrata
Autosticha kyotensis
Autosticha modicella
Autosticha pelodes
Azeta repugnalis
Bactra minima
Bactra philocherda
Bactra straminea
Bactra venosana
Badamia exclamationis
Bagisara repanda
Balanomis encyclia
Barea asbolaea
Barea codrella
Barea confusella
Barea consignatella
Barea exarcha
Batia lunaris
Batrachedra amydraula
Batrachedra knabi
Batrachedra microstigma
Batrachedra pinicolella
Bedellia orchilella
Bedellia somnulentella
Bema neuricella
Bifascioides leucomelanella
Bilobata subsecivella
Blastobasis adustella
Blastobasis decolorella
Blastobasis glandulella
Blastobasis graminea
Blastobasis inana
Blastobasis lacticolella
Blastobasis marmorosella
Blastobasis maroccanella
Blastobasis rebeli
Blastobasis tarda
Blastobasis vittata
Blastodacna atra
Bleptina araealis
Bocana manifestalis
Bocchoris fatualis
Bohemannia pulverosella
Bombyx mori
Borbo cinnara
Borkhausenia crimnodes
Borkhausenia fuscescens
Borkhausenia nefrax
Brachycyttarus griseus
Bradyrrhoa gilveolella
Brenthis ino
Brephidium exilis
Bucculatrix ainsliella
Bucculatrix chrysanthemella
Bucculatrix ivella
Bucculatrix parthenica
Bucculatrix thurberiella
Bucculatrix ulmifoliae
Busseola fusca
Cacocharis cymotoma
Cacoecimorpha pronubana
Cactoblastis cactorum
