Species;Continent;Realm;BibliographicReference;ReferenceYear
Abaeis nicippe;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acalyptris platani;Asia;Palearctic;van Nieukerken, E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48;2007.0
Acalyptris platani;Europe;Palearctic;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142;2003.0
Acalyptris platani;Europe;Palearctic;van Nieukerken, E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48;2007.0
Acalyptris platani;Africa;Saharo-Arabian;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142;2003.0
Acalyptris platani;Asia;Saharo-Arabian;van Nieukerken, E. (2007). Acalyptris Meyrick: revision of the platani and staticis groups in Europe and the Mediterranean (Lepidoptera: Nepticulidae). Zootaxa. 1436: 1-48;2007.0
Acalyptris platani;Asia;Sino-Japanese;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142;2003.0
Acentria ephemerella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acentria ephemerella;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Achaea janata;Australia;Australian;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340;1978.0
Achaea janata;Oceania;Australian;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340;1978.0
Achaea janata;Oceania;Nearctic;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340;1978.0
Achaea janata;South America;Neotropical;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340;1978.0
Achaea janata;Asia;Oriental;Edwards, E. (1978). A review of the genus Archaea in Australia (Lepidoptera: Noctuidae). Journal of the Australian Entomological Society. 17: 329-340;1978.0
Achaea janata;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acharia stimulea;North America;Nearctic;Cooley, T., Reardon, R. (2022). Field Guide to the Slug Moths (Lepidoptera: Limacodidae) of West Virginia. Forest Service U.S. Department of Agriculture. 84pp;2022.0
Acharia stimulea;North America;Panamanian;Cooley, T., Reardon, R. (2022). Field Guide to the Slug Moths (Lepidoptera: Limacodidae) of West Virginia. Forest Service U.S. Department of Agriculture. 84pp;2022.0
Acharia stimulea;North America;Nearctic;Goudarzi, M. (2023). Structure, function, and evolution of nettle caterpillar (Lepidoptera: Limacodidae) venom toxins. The Australian Entomologist. 50(3): 351-356;2023.0
Azeta repugnalis;South America;Neotropical;Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica.;2002.0
