Reference;Title;CrossRef
CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;CABI Invasive Species Compendium;Diaz-Soltero, H., Scott, P. (2014). Global identification of invasive species the CABI Invasive Species Compendium as a resource.. Invasive species and global climate change, , 232-239
Gilligan, T., Brown, J. and Baixeras, J. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(594);Immigrant Tortricidae Holarctic versus Introduced Species in North America;Gilligan, T., Brown, J., Baixeras, J. (2020). Immigrant Tortricidae Holarctic versus Introduced Species in North America. Insects, 11, 594
European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;EPPO Global Database;
Baker, A. and Stiling, P. (2009). Comparing the effects of the exotic cactus-feeding moth, Cactoblastis cactorum (Berg) (Lepidoptera: Pyralidae) and the native cactus-feeding moth, Melitara prodenialis (Walker) (Lepidoptera: Pyralidae) on two species of Florida Opuntia. Biological Invasions. 11: 619-624;Comparing the effects of the exotic cactus-feeding moth, Cactoblastis cactorum (Berg) (Lepidoptera Pyralidae) and the native cactus-feeding moth, Melitara prodenialis (Walker) (Lepidoptera Pyralidae) on two species of Florida Opuntia;
U.S. Geological Survey (2022). United States Register of Introduced and Invasive Species (US-RIIS), all versions: U.S. Geological Survey data release, https://doi.org/10.5066/P92DN8D8;United States Register of Introduced and Invasive Species (US-RIIS), all versions U.S;
Ermolaev, I. (2014). Biological Invasion of the Lime Leafminer Phyllonorycter issikii Kumata (Lepidoptera, Gracillariidae) in Europe. Contemporary Problems of Ecology. 7(3): 324-333;Biological Invasion of the Lime Leafminer Phyllonorycter issikii Kumata (Lepidoptera, Gracillariidae) in Europe;Ermolaev, I. (2014). Biological invasion of the lime leafminer Phyllonorycter issikii Kumata (Lepidoptera, Gracillariidae) in Europe. Contemporary Problems of Ecology, 7, 324-333
Shine, C., Reaser, J.  and Gutierrez, A. (eds.) (2003). Invasive alien species in the Austral Pacific Region: National Reports & Directory of Resources. Global Invasive Species Programme, Cape Town, South Africa.;Invasive alien species in the Austral Pacific Region National Reports  Directory of Resources;Unknown Author (2022). Invasive Alien Species. Encyclopedia of the UN Sustainable Development Goals, , 502-502
Koshkin, E. and Bezborodov, V. (2019). First record of Sphecodina caudata (Bremer & Grey, 1852) (Lepidoptera, Sphingidae) from Amur Oblast, with an overview of its distribution in Russia. Check List. 15(5): 847-850;First record of Sphecodina caudata (Bremer  Grey, 1852) (Lepidoptera, Sphingidae) from Amur Oblast, with an overview of its distribution in Russia;Koshkin, E., Bezborodov, V. (2019). First record of Sphecodina caudata (Bremer ampamp Grey, 1852) (Lepidoptera, Sphingidae) from Amur Oblast, with an overview of its distribution in Russia. Check List, 15, 847-850
Sosa-Gomez, D., Specht, A., Paula-Moraes, S., Lopes-Lima, A., Yano, S., Micheli, A., ... and Azevedo-Filho, W. (2016). Timeline and geographical distribution of Helicoverpa armigera (Hubner) (Lepidoptera, Noctuidae: Heliothinae) in Brazil. Revista Brasileira de Entomologia. 60: 101-104;Timeline and geographical distribution of Helicoverpa armigera (Hubner) (Lepidoptera, Noctuidae Heliothinae) in Brazil;Sosa-Gmez, D., Specht, A., Paula-Moraes, S., Lopes-Lima, A., Yano, S., Micheli, A., Morais, E., Gallo, P., Pereira, P., Salvadori, J., Botton, M., Zenker, M., Azevedo-Filho, W. (2016). Timeline and geographical distribution of Helicoverpa armigera (Hbner) (Lepidoptera, Noctuidae Heliothinae) in Brazil. Revista Brasileira de Entomologia, 60, 101-104
Government of Canada (2015). Forest Invasive Alien Species - Established species;Forest Invasive Alien Species - Established species;Jones, B. (2020). Happiness and forest-attacking invasive alien species. Handbook on Wellbeing, Happiness and the Environment, , 
