Species;AcceptedSpecies;Genus;Family
Acalyptris platani;Acalyptris platani;Acalyptris;Nepticulidae
Acentria ephemerella;Acentria ephemerella;Acentria;Crambidae
Achaea ablunaris;Achaea ablunaris;Achaea;Erebidae
Acharia apicalis;Sibine apicalis;Sibine;Limacodidae
Acharia stimulea;Acharia stimulea;Acharia;Limacodidae
Achroia grisella;Achroia grisella;Achroia;Pyralidae
Achyra affinitalis;Achyra affinitalis;Achyra;Crambidae
Acleris comariana;Acleris comariana;Acleris;Tortricidae
Acleris forsskaleana;Acleris forsskaleana;Acleris;Tortricidae
Acleris holmiana;Acleris holmiana;Acleris;Tortricidae
Acleris rhombana;Acleris rhombana;Acleris;Tortricidae
Acleris undulana;Acleris undulana;Acleris;Tortricidae
Acleris variegana;Acleris variegana;Acleris;Tortricidae
Acontia candefacta;Acontia candefacta;Acontia;Noctuidae
Acontia crocata;Acontia crocata;Acontia;Noctuidae
Acraea terpiscore;Acraea terpsicore;Acraea;Nymphalidae
Acraea terpsicore;Acraea terpsicore;Acraea;Nymphalidae
Acrobasis suavella;Acrobasis suavella;Acrobasis;Pyralidae
Acrocercops laciniella;Acrocercops laciniella;Acrocercops;Gracillariidae
Acrolepiopsis assectella;Acrolepia assectella;Acrolepia;Glyphipterigidae
Acrolepiopsis jaspidata;Acrolepia jaspidata;Acrolepia;Glyphipterigidae
Actias isabellae;Graellsia isabellae;Graellsia;Saturniidae
Actias selene;Actias selene;Actias;Saturniidae
Actinotia hyperici;Chloantha hyperici;Chloantha;Noctuidae
Adoxophyes privatana;Adoxophyes privatana;Adoxophyes;Tortricidae
Aethes rubiginana;Aethes rubiginana;Aethes;Tortricidae
Aethes rutilana;Aethes rutilana;Aethes;Tortricidae
Agapeta zoegana;Agapeta zoegana;Agapeta;Tortricidae
Agassiziella angulipennis;Agassiziella angulipennis;Agassiziella;Crambidae
Agathodes designalis;Agathodes designalis;Agathodes;Crambidae
Aglaonice hirtipalpis;Aglaonice hirtipalpis;Aglaonice;Erebidae
Aglossa caprealis;Aglossa caprealis;Aglossa;Pyralidae
Aglossa dimidiata;Aglossa dimidiatus;Aglossa;Pyralidae
Aglossa dimidiatus;Aglossa dimidiatus;Aglossa;Pyralidae
Aglossa pinguinalis;Aglossa pinguinalis;Aglossa;Pyralidae
Agonopterix alstroemeriana;Agonopterix alstromeriana;Agonopterix;Depressariidae
Agonopterix alstromeriana;Agonopterix alstromeriana;Agonopterix;Depressariidae
Agonopterix arenella;Agonopterix arenella;Agonopterix;Depressariidae
Agonopterix assimilella;Agonopterix assimilella;Agonopterix;Depressariidae
Agonopterix assimillella;Agonopterix assimilella;Agonopterix;Depressariidae
Agonopterix ciliella;Agonopterix ciliella;Agonopterix;Depressariidae
Agonopterix heracliana;Agonopterix heracliana;Agonopterix;Depressariidae
Agonopterix nervosa;Agonopterix nervosa;Agonopterix;Depressariidae
Agonopterix ulicetella;Agonopterix ulicetella;Agonopterix;Depressariidae
Agonoxena argaula;Agonoxena argaula;Agonoxena;Elachistidae
Agonoxena pyrogramma;Agonoxena pyrogramma;Agonoxena;Elachistidae
Agrius cingulata;Agrius cingulata;Agrius;Sphingidae
Agrius cingulatus;Agrius cingulata;Agrius;Sphingidae
Agrius convolvuli;Agrius convolvuli;Agrius;Sphingidae
Agrochola lota;Leptologia lota;Leptologia;Noctuidae
Agrochola lunosa;Anchoscelis lunosa;Anchoscelis;Noctuidae
Agrotis ipsilon;Agrotis ipsilon;Agrotis;Noctuidae
Agrotis segetum;Agrotis segetum;Agrotis;Noctuidae
Alabama argillacea;Anomis argillacea;Anomis;Erebidae
Amphipyra tragopoginis;Amphipyra tragopoginis;Amphipyra;Noctuidae
Amyelois transitella;Amyelois transitella;Amyelois;Pyralidae
Anacampsis humilis;Anacampsis humilis;Anacampsis;Gelechiidae
Anacampsis populella;Anacampsis populella;Anacampsis;Gelechiidae
Anagasta kuehniella;Ephestia kuehniella;Ephestia;Pyralidae
Anania hortulata;Anania hortulata;Anania;Crambidae
Anarsia lineatella;Anarsia lineatella;Anarsia;Gelechiidae
Anarta trifolii;Anarta trifolii;Anarta;Noctuidae
Anartia chrysopelea;Anartia lytraea;Anartia;Nymphalidae
Anartia fatima;Anartia fatima;Anartia;Nymphalidae
Anartia lytraea;Anartia lytraea;Anartia;Nymphalidae
Anatrachyntis badia;Anatrachyntis badia;Anatrachyntis;Cosmopterigidae
Anatrachyntis rileyi;Anatrachyntis rileyi;Anatrachyntis;Cosmopterigidae
Anatrachyntis simplex;Anatrachyntis simplex;Anatrachyntis;Cosmopterigidae
Ancylis comptana;Ancylis comptana;Ancylis;Tortricidae
Ancylostomia stercorea;Ancylostomia stercorea;Ancylostomia;Crambidae
Angustalius malacelloides;Bleszynskia malacelloides;Bleszynskia;Crambidae
Anisoplaca cosmia;Anisoplaca cosmia;Anisoplaca;Gelechiidae
Anomis argillacea;Anomis argillacea;Anomis;Erebidae
Anomis erosa;Anomis erosa;Anomis;Erebidae
Anomis flava;Anomis flava;Anomis;Erebidae
Anomis involuta;Zale minerea;Zale;Erebidae
Anomis luridula;Anomis luridula;Anomis;Erebidae
Anomis privata;Anomis privata;Anomis;Erebidae
Anomis sabulifera;Anomis sabulifera;Anomis;Erebidae
Antheraea paphia;Antheraea paphia;Antheraea;Saturniidae
Antheraea pernyi;Antheraea pernyi;Antheraea;Saturniidae
